Date,Country,State(USA only),City,Title
14 May 2023, France,,Paris,Week-End Howard Shore #3 Les Promesses de l'ombre,"return overlib('Orchestre Philharmonique De Radio France<BR>Bastien Stil, conductor<BR>Raphaëlle Moreau Violon<BR>Henri Demarquette Violoncelle<BR>Jean-Paul Gasparian Piano<BR><BR>Eastern Promises? \""The Promises of the Shadow\"", of course, by David Cronenberg. But this concert also applies to all th')"
14 May 2023, Canada,,Surrey,James Ehnes on Violin & Viola,"return overlib('Johann Strauss II - Blue Danube Waltzes<BR>Erich Wolfgang Korngold - Violin concert D major op. 35, the concerto has themes from the scores for the movies ANOTHER DAWN (1937), ANTHONY ADVERSE (1936) & THE PRINCE AND THE PAUPER (1937)<BR>Béla Bartók - Viola Concerto<BR>Franz Liszt -')"
14 May 2023, USA,Tennessee,Nashville,"Harry Potter and the Deathly Hallows, Part 1 - In Concert","return overlib('Alexandre Desplat - Harry Potter and the Deathly Hallows, Part 1<BR><BR>Harry’s last year at Hogwarts™ is here, in part one of the epic finale Harry Potter and the Deathly Hallows™ in Concert! Experience the loss and the love of this series’ finish all over again as Harry and')"
16 May 2023, Spain,,Madrid,Hans Zimmer Live – Europe Tour 2023,"return overlib('Following the major success of his recent tour across Europe, Hans Zimmer is excited to announce the continuation of this smash-hit tour.<BR><BR>Starting in April 2023, the world-renowned film composer will return to Europe with his extraordinary band and orchestra for the “Hans Zimmer Live &n')"
17 May 2023, Germany,,Frankfurt am Main,The New Babylon - music and film,"return overlib('Dimitri Shostakovich - The New Babylon<BR><BR>The famous, avant-garde and at the same time idealizing silent film of the Russian master director duo Grigori Kozintsev & Leonid Trauberg from 1929 comes from the phase of revolutionary romanticism of the young Soviet Union. The film uses the suppre')"
17 May 2023, Australia,,St Kilda,The Magical Music of Harry Potter,"return overlib('HOGWARTS - The Harry Potter films are the most successful films in cinema history, now the Oscar-winning film music in a unique concert with the Weasley brothers! Original actors, star soloists, a choir and symphony orchestra will bring Harry Potter\'s musical world to life. Visitors will experience')"
17 May 2023, Belgium,,Liège (Luik),La dolce vita,"return overlib('The good life in the sun, who hasn\'t dreamed of it? Farniente, dolce vita, voluptuousness, so many sweet names for the same languor... Pierre Solot and the OPRL invite you on a journey imbued with this sweetness of life illustrated by many composers of film, opera or orchestral music. : Nino Rota, ')"
18 May 2023, Canada,,Calgary,Marvel Studios Presents Black Panther in Concert,"return overlib('Ludwig Göransson - The Black Panther<BR><BR>In 2018, Marvel Studios’ Black Panther quickly became a global sensation and cultural phenomenon, showing a new dimension of what Super Hero films could be. Rolling Stone raved, “The film lights up the screen with a full-throttle blast of ')"
18 May 2023, Australia,,Melbourne,The Lord of the Rings & The Hobbit The Concert,"return overlib('Howard Shore - The Lord of the Rings & The Hobbit<BR><BR>Join to celebrate the 20th anniversary of Peter Jackson’s films and bring to life the legendary world of hobbits, elves and orcs in a unique concert experience with a symphonic orchestra, choir and star guests. From the ominous sound')"
18 May 2023, USA,New Jersey,Morristown,Star Wars: The Empire Strikes Back -  In Concert,"return overlib('John Williams - Star Wars: The Empire Strikes Back<BR><BR>Coming to New Jersey from a galaxy far, far away—experience Star Wars: The Empire Strikes Back like never before as your New Jersey Symphony performs John Williams’ Oscar-winning score live to the entire film. “You must feel')"
18 May 2023, USA,Colorado,Denver,A Tribute to John Williams,"return overlib('A Colorado favorite returns as your Colorado Symphony celebrates the music of the legendary John Williams, including selections from his celebrated scores from films such as<BR>- Star Wars<BR>- Harry Potter<BR>- Jurassic Park<BR>and more!')"
19 May 2023, Canada,,Calgary,Marvel Studios Presents Black Panther in Concert,"return overlib('Ludwig Göransson - The Black Panther<BR><BR>In 2018, Marvel Studios’ Black Panther quickly became a global sensation and cultural phenomenon, showing a new dimension of what Super Hero films could be. Rolling Stone raved, “The film lights up the screen with a full-throttle blast of ')"
19 May 2023, United Kingdom,,Edinburgh,Out of this World!,"return overlib('The Force is strong with this one, as movie maestro Robert Ziegler captains the RSNO on a fantastic musical journey that’s out of this world! Composing giants John Williams, James Horner, Hans Zimmer and more, brought the big screen to life. Now you can experience their epic soundtracks perfor')"
19 May 2023, USA,Missouri,Kansas City,The Princess Bride in concert,"return overlib('Mark Knopfler - The Princess Bride<BR><BR>Fencing, fighting, giants, monsters, true love, miracles. Experience one of the most beloved films of all time as never before, with the power of your KC Symphony performing the entire musical score live-to-picture! Directed by Rob Reiner, “The Princes')"
19 May 2023, USA,New Jersey,Red Bank,Star Wars: The Empire Strikes Back -  In Concert,"return overlib('John Williams - Star Wars: The Empire Strikes Back<BR><BR>Coming to New Jersey from a galaxy far, far away—experience Star Wars: The Empire Strikes Back like never before as your New Jersey Symphony performs John Williams’ Oscar-winning score live to the entire film. “You must feel')"
19 May 2023, France,,Paris,Metropolis,"return overlib('Martin Matalon - Metropolis<BR>Film by Fritz Lang, Germany, 1927, new restored version<BR><BR>In a futuristic city sharply divided between the working class and the city planners, the son of the city\'s mastermind falls in love with a working-class prophet who predicts the coming of a savior to medi')"
19 May 2023, France,,Lyon,Hommage à Piazzolla,"return overlib('National Orchestra of Lyon<BR>Clark Rundell, conductor<BR>Paul Ziegler, piano<BR>Quique Sinesi, guitar<BR>Martin Sued, bandoneon<BR><BR>To the sound of the most beautiful tangos, the Orchester National de Lyon takes you to the suburbs of Buenos Aires with the complicity of Pablo Ziegler – Piaz')"
20 May 2023, Australia,,Sydney,The Magical Music of Harry Potter,"return overlib('HOGWARTS - The Harry Potter films are the most successful films in cinema history, now the Oscar-winning film music in a unique concert with the Weasley brothers! Original actors, star soloists, a choir and symphony orchestra will bring Harry Potter\'s musical world to life. Visitors will experience')"
20 May 2023, Germany,,Hannover,Hans Zimmer Live – Europe Tour 2023,"return overlib('Following the major success of his recent tour across Europe, Hans Zimmer is excited to announce the continuation of this smash-hit tour.<BR><BR>Starting in April 2023, the world-renowned film composer will return to Europe with his extraordinary band and orchestra for the “Hans Zimmer Live &n')"
20 May 2023, USA,Texas,Midland,Back to the Future in concert,return overlib('Alan Silvestri - Back to the Future<BR><BR>Power up your DeLorean Time Machine…recharge your flux capacitor… and get ready to celebrate this unforgettable movie classic as you’ve never seen and heard it before! Back to the Future is the 1.21-gigawatt blockbuster that topped the 1')
20 May 2023, United Kingdom,,Glasgow,Out of this World!,"return overlib('The Force is strong with this one, as movie maestro Robert Ziegler captains the RSNO on a fantastic musical journey that’s out of this world! Composing giants John Williams, James Horner, Hans Zimmer and more, brought the big screen to life. Now you can experience their epic soundtracks perfor')"
20 May 2023, USA,Missouri,Kansas City,The Princess Bride in concert,"return overlib('Mark Knopfler - The Princess Bride<BR><BR>Fencing, fighting, giants, monsters, true love, miracles. Experience one of the most beloved films of all time as never before, with the power of your KC Symphony performing the entire musical score live-to-picture! Directed by Rob Reiner, “The Princes')"
20 May 2023, USA,New Jersey,Newark,Star Wars: The Empire Strikes Back -  In Concert,"return overlib('John Williams - Star Wars: The Empire Strikes Back<BR><BR>Coming to New Jersey from a galaxy far, far away—experience Star Wars: The Empire Strikes Back like never before as your New Jersey Symphony performs John Williams’ Oscar-winning score live to the entire film. “You must feel')"
20 May 2023, France,,Paris,Metropolis,"return overlib('Martin Matalon - Metropolis<BR>Film by Fritz Lang, Germany, 1927, new restored version<BR><BR>In a futuristic city sharply divided between the working class and the city planners, the son of the city\'s mastermind falls in love with a working-class prophet who predicts the coming of a savior to medi')"
20 May 2023, France,,Paris,Muerto o vivo (Dead or Alive),"return overlib('Compagnie Mon Grand l\'Ombre<BR>Sophie Laloy, singer, claviers, accordéon, Baschet, réalisation du film<BR>Leïla Mendez, singer, claviers, Baschet, composition<BR>Michel Taïeb, singer, batterie, guitares, Baschet, composition<BR><BR>With this highly inventive hybrid show Muer')"
20 May 2023, France,,Lyon,Hommage à Piazzolla,"return overlib('National Orchestra of Lyon<BR>Clark Rundell, conductor<BR>Paul Ziegler, piano<BR>Quique Sinesi, guitar<BR>Martin Sued, bandoneon<BR><BR>To the sound of the most beautiful tangos, the Orchester National de Lyon takes you to the suburbs of Buenos Aires with the complicity of Pablo Ziegler – Piaz')"
21 May 2023, Australia,,Sydney,The Lord of the Rings & the Hobbit,"return overlib('Howard Shore - The Lord of the Rings<BR>Howard Shore - The Hobbit<BR><BR>The masterpiece of J.R.R. Tolkien in concert with the orchestra, choir and Tolkien Ensemble on Oscar-winning music by Howard Shore, Annie Lennox, Enya and Ed Sheeran.<BR><BR>Billy Boyd \""Pippin\"" sings his songs \&quo')"
21 May 2023, USA,Missouri,Kansas City,The Princess Bride in concert,"return overlib('Mark Knopfler - The Princess Bride<BR><BR>Fencing, fighting, giants, monsters, true love, miracles. Experience one of the most beloved films of all time as never before, with the power of your KC Symphony performing the entire musical score live-to-picture! Directed by Rob Reiner, “The Princes')"
21 May 2023, USA,New Jersey,New Brunswick,Star Wars: The Empire Strikes Back -  In Concert,"return overlib('John Williams - Star Wars: The Empire Strikes Back<BR><BR>Coming to New Jersey from a galaxy far, far away—experience Star Wars: The Empire Strikes Back like never before as your New Jersey Symphony performs John Williams’ Oscar-winning score live to the entire film. “You must feel')"
21 May 2023, France,,Paris,Muerto o vivo (Dead or Alive),"return overlib('Compagnie Mon Grand l\'Ombre<BR>Sophie Laloy, singer, claviers, accordéon, Baschet, réalisation du film<BR>Leïla Mendez, singer, claviers, Baschet, composition<BR>Michel Taïeb, singer, batterie, guitares, Baschet, composition<BR><BR>With this highly inventive hybrid show Muer')"
22 May 2023, Australia,,Newcastle,The Magical Music of Harry Potter,"return overlib('HOGWARTS - The Harry Potter films are the most successful films in cinema history, now the Oscar-winning film music in a unique concert with the Weasley brothers! Original actors, star soloists, a choir and symphony orchestra will bring Harry Potter\'s musical world to life. Visitors will experience')"
22 May 2023, Switzerland,,Zürich,Hans Zimmer Live – Europe Tour 2023,"return overlib('Following the major success of his recent tour across Europe, Hans Zimmer is excited to announce the continuation of this smash-hit tour.<BR><BR>Starting in April 2023, the world-renowned film composer will return to Europe with his extraordinary band and orchestra for the “Hans Zimmer Live &n')"
23 May 2023, Poland,,Kraków,FMF 2023 - Film Music Festival,"return overlib('FMF 2023 - Film Music Festival<BR><BR>The Film Music Festival in Krakow is one of the most important film music festivals in the world. Monumental music and film shows are distinguished not only by the high artistic level of the presented works, but also by innovation in the field of sound and image')"
23 May 2023, Germany,,Dortmund,Silent Film Concert: Charles Chaplin – The Circus,"return overlib('Charles Chaplin – The Circus<BR><BR>Cinema meets concert meets circus: In the silent film concert, you can enjoy triple good entertainment! The German version of Chaplin\'s \""The Circus\"" will be shown in full length, accompanied live by the Dortmund Philharmonic Orchestra with the i')"
24 May 2023, Germany,,München (Munich)	,Hans Zimmer Live – Europe Tour 2023,"return overlib('Following the major success of his recent tour across Europe, Hans Zimmer is excited to announce the continuation of this smash-hit tour.<BR><BR>Starting in April 2023, the world-renowned film composer will return to Europe with his extraordinary band and orchestra for the “Hans Zimmer Live &n')"
24 May 2023, Poland,,Kraków,FMF 2023 - Film Music Festival,"return overlib('FMF 2023 - Film Music Festival<BR><BR>The Film Music Festival in Krakow is one of the most important film music festivals in the world. Monumental music and film shows are distinguished not only by the high artistic level of the presented works, but also by innovation in the field of sound and image')"
24 May 2023, Netherlands,,Utrecht,Brad Mehldau and the Netherlands Chamber Orchestra,"return overlib('<BR><BR>Brad Mehldau and Jonny Greenwood are two misfits in classical music. Music by a chameleon who feels at home in any musical genre and a rocker who writes world hits as easily as music for films and orchestras.<BR><BR>Good guy, bad guy<BR>Brad Mehldau is a pianist who masters every genre and k')"
25 May 2023, Poland,,Kraków,FMF 2023 - Film Music Festival,"return overlib('FMF 2023 - Film Music Festival<BR><BR>The Film Music Festival in Krakow is one of the most important film music festivals in the world. Monumental music and film shows are distinguished not only by the high artistic level of the presented works, but also by innovation in the field of sound and image')"
25 May 2023, Germany,,Hannover,Kristóf Baráti spielt Korngolds Violinkonzert: Symphony concert A7,"return overlib('NDR Radiophilharmonie<BR>Tarmo Peltokoski, conductor<BR>Kristóf Friends, violin<BR><BR>Music from the past century: violinist Kristóf Baráti plays Erich Wolfgang Korngold\'s Violin Concerto and Tarmo Peltokoski conducts Shostakovich\'s 10th Symphony.<BR><BR>The A7 symphony conce')"
26 May 2023, Poland,,Kraków,FMF 2023 - Film Music Festival,"return overlib('FMF 2023 - Film Music Festival<BR><BR>The Film Music Festival in Krakow is one of the most important film music festivals in the world. Monumental music and film shows are distinguished not only by the high artistic level of the presented works, but also by innovation in the field of sound and image')"
26 May 2023, Germany,,Berlin,Hans Zimmer Live – Europe Tour 2023,"return overlib('Following the major success of his recent tour across Europe, Hans Zimmer is excited to announce the continuation of this smash-hit tour.<BR><BR>Starting in April 2023, the world-renowned film composer will return to Europe with his extraordinary band and orchestra for the “Hans Zimmer Live &n')"
26 May 2023, Belgium,,Bruxelles / Brussel (Brussels),Film Symphonic : Vertigo - Alfred Hitchcock,"return overlib('Bernard Herrmann - Vertigo (movie by A. Hitchcock)<BR><BR>The German conductor Frank Strobel is a pioneer in the field of film concerts. He introduced the western world to the film score of Alfred Schnittke, reconstructed the score Prokofiev wrote for the Soviet film Alexander Nevsky and conducted t')"
26 May 2023, Germany,,Hannover,Kristóf Baráti spielt Korngolds Violinkonzert: Symphony concert A7,"return overlib('NDR Radiophilharmonie<BR>Tarmo Peltokoski, conductor<BR>Kristóf Friends, violin<BR><BR>Music from the past century: violinist Kristóf Baráti plays Erich Wolfgang Korngold\'s Violin Concerto and Tarmo Peltokoski conducts Shostakovich\'s 10th Symphony.<BR><BR>The A7 symphony conce')"
27 May 2023, Poland,,Kraków,FMF 2023 - Film Music Festival,"return overlib('FMF 2023 - Film Music Festival<BR><BR>The Film Music Festival in Krakow is one of the most important film music festivals in the world. Monumental music and film shows are distinguished not only by the high artistic level of the presented works, but also by innovation in the field of sound and image')"
27 May 2023, France,,Toulon,"Charlot, Tous Courts live in concert","return overlib('For this cine-concert which includes three short films by Charlie Chaplin, we find Hugo Gonzalez-Pioli who will conduct his music. <BR><BR>Hugo Gonzalez-Pioli - Charlot Policeman •  Easy Street<BR>Hugo Gonzalez-Pioli - L\'émigrant • The Immigrant<BR>Hugo Gonzalez-Pioli - Charlot Esc')"
28 May 2023, Poland,,Kraków,FMF 2023 - Film Music Festival,"return overlib('FMF 2023 - Film Music Festival<BR><BR>The Film Music Festival in Krakow is one of the most important film music festivals in the world. Monumental music and film shows are distinguished not only by the high artistic level of the presented works, but also by innovation in the field of sound and image')"
28 May 2023, Germany,,Hamburg,Hans Zimmer Live – Europe Tour 2023,"return overlib('Following the major success of his recent tour across Europe, Hans Zimmer is excited to announce the continuation of this smash-hit tour.<BR><BR>Starting in April 2023, the world-renowned film composer will return to Europe with his extraordinary band and orchestra for the “Hans Zimmer Live &n')"
28 May 2023, France,,Toulon,"Charlot, Tous Courts II live in concert","return overlib('For this cine-concert which includes three short films by Charlie Chaplin, we find Hugo Gonzalez-Pioli who will conduct his music. <BR><BR>Hugo Gonzalez-Pioli - Charlot Fait Une Cure • The Cure <BR>Hugo Gonzalez-Pioli - Charlot Patine • The Rink<BR>Hugo Gonzalez-Pioli - Charlot Usurier &bu')"
29 May 2023, Poland,,Kraków,FMF 2023 - Film Music Festival,"return overlib('FMF 2023 - Film Music Festival<BR><BR>The Film Music Festival in Krakow is one of the most important film music festivals in the world. Monumental music and film shows are distinguished not only by the high artistic level of the presented works, but also by innovation in the field of sound and image')"
30 May 2023, Poland,,Kraków,FMF 2023 - Film Music Festival: Hans Zimmer Live – Europe Tour 2023,"return overlib('In spring 2023, the two-time Oscar winner will return to Europe with his hit tour!<BR><BR>Hans Zimmer, the world-famous composer, will perform in Poland again! The musical show scheduled for 30 May 2023 at TAURON Arena Krakow will be part of the \""Hans Zimmer Live - Europe Tour 2023\"" conc')"
31 May 2023, Italy,,Milano (Milan),Jurassic Park in concert,"return overlib('John Williams - Jurassic Park<BR><BR>The action-packed adventure pits man against prehistoric predators in the ultimate battle for survival. Featuring visually stunning imagery and groundbreaking special effects, this epic film is sheer movie magic 65 million years in the making.<BR><BR>Now audience')"
01 Jun 2023, Italy,,Milano (Milan),Jurassic Park in concert,"return overlib('John Williams - Jurassic Park<BR><BR>The action-packed adventure pits man against prehistoric predators in the ultimate battle for survival. Featuring visually stunning imagery and groundbreaking special effects, this epic film is sheer movie magic 65 million years in the making.<BR><BR>Now audience')"
02 Jun 2023, Sweden,,Stockholm,Music from the Studio Ghibli Films of Hayao Miyazaki,"return overlib('Royal Stockholm Philharmonic Orchestra<BR>Joe Hisaishi, conductor<BR>Katarina choir<BR>Vocal Soloists<BR><BR><BR><BR>At last! Experience the magical music of Studio Ghibli films live at Konserthuset Stockholm, together with a selection of clips on the screen.<BR><BR>This concert is a tribute to the ')"
02 Jun 2023, Czech Republic,,Praha (Prague),Hans Zimmer Live – Europe Tour 2023,"return overlib('Following the major success of his recent tour across Europe, Hans Zimmer is excited to announce the continuation of this smash-hit tour.<BR><BR>Starting in April 2023, the world-renowned film composer will return to Europe with his extraordinary band and orchestra for the “Hans Zimmer Live &n')"
02 Jun 2023, Canada,,Edmonton,Great Hollywood Adventures,"return overlib('Nothing beats the thrill of a good action-adventure film, whether it’s a classic western or swashbuckler, a tale of time travel or man’s first journeys into space, eluding hungry dinosaurs, or a Hitchcock thriller. Hollywood’s most memorable and virtuosic scores are featured in thi')"
02 Jun 2023, Canada,,Calgary,Movie Magic: Morricone + Bernstein,"return overlib('Music Director Rune Bergmann is your guide to this concert that first highlights the illustrious film scores of Italian composer Ennio Morricone, including iconic themes from The Good, The Bad, and the Ugly, Cinema Paradiso, The Mission, The Hateful Eight, and more. Then hear the Orchestra perform L')"
03 Jun 2023, Sweden,,Stockholm,Music from the Studio Ghibli Films of Hayao Miyazaki,"return overlib('Royal Stockholm Philharmonic Orchestra<BR>Joe Hisaishi, conductor<BR>Katarina choir<BR>Vocal Soloists<BR><BR><BR><BR>At last! Experience the magical music of Studio Ghibli films live at Konserthuset Stockholm, together with a selection of clips on the screen.<BR><BR>This concert is a tribute to the ')"
03 Jun 2023, Austria,,Wien (Vienna),Hans Zimmer Live – Europe Tour 2023,"return overlib('Following the major success of his recent tour across Europe, Hans Zimmer is excited to announce the continuation of this smash-hit tour.<BR><BR>Starting in April 2023, the world-renowned film composer will return to Europe with his extraordinary band and orchestra for the “Hans Zimmer Live &n')"
03 Jun 2023, Canada,,Edmonton,Great Hollywood Adventures,"return overlib('Nothing beats the thrill of a good action-adventure film, whether it’s a classic western or swashbuckler, a tale of time travel or man’s first journeys into space, eluding hungry dinosaurs, or a Hitchcock thriller. Hollywood’s most memorable and virtuosic scores are featured in thi')"
03 Jun 2023, Canada,,Calgary,Movie Magic: Morricone + Bernstein,"return overlib('Music Director Rune Bergmann is your guide to this concert that first highlights the illustrious film scores of Italian composer Ennio Morricone, including iconic themes from The Good, The Bad, and the Ugly, Cinema Paradiso, The Mission, The Hateful Eight, and more. Then hear the Orchestra perform L')"
03 Jun 2023, France,,Lyon,Le Grand Méchant Renard et autres contes,"return overlib('A baby to deliver – The Big Bad Fox – Saving Christmas<BR><BR>Film de Benjamin Renner et Patrick Imbert – scénario de Benjamin Renner et Jean Regnaud – France, 2017, couleur<BR><BR> Film by Benjamin Renner and Patrick Imbert – screenplay by Benjamin Renner and Je')"
04 Jun 2023, Canada,,Edmonton,Great Hollywood Adventures,"return overlib('Nothing beats the thrill of a good action-adventure film, whether it’s a classic western or swashbuckler, a tale of time travel or man’s first journeys into space, eluding hungry dinosaurs, or a Hitchcock thriller. Hollywood’s most memorable and virtuosic scores are featured in thi')"
04 Jun 2023, USA,Indiana,Indianapolis,The Princess Bride in Concert,"return overlib('Mark Knopfler - The Princess Bride<BR><BR>Fencing, fighting, torture, revenge, giants, monsters, chases, escapes, true love, miracles! Experience one of the most beloved films of all time as never before with the power of the Indianapolis Symphony Orchestra performing the entire musical score of thi')"
05 Jun 2023, Hungary,,Budapest,Hans Zimmer Live – Europe Tour 2023,"return overlib('Following the major success of his recent tour across Europe, Hans Zimmer is excited to announce the continuation of this smash-hit tour.<BR><BR>Starting in April 2023, the world-renowned film composer will return to Europe with his extraordinary band and orchestra for the “Hans Zimmer Live &n')"
06 Jun 2023, Slovakia,,Bratislava,Hans Zimmer Live – Europe Tour 2023,"return overlib('Following the major success of his recent tour across Europe, Hans Zimmer is excited to announce the continuation of this smash-hit tour.<BR><BR>Starting in April 2023, the world-renowned film composer will return to Europe with his extraordinary band and orchestra for the “Hans Zimmer Live &n')"
09 Jun 2023, France,,Nantes,Pause-concert : Film Music,return overlib('● Mairéad Hickey - violin / Andrés Fernández Subiela - double bass / Rémi Vignet - flute / Alexandre Mège - oboe / Maguy Giraud - clarinet / Pierre-Yves Bens - horn / Ignacio Echepare - bassoon<BR><BR><BR><BR>● Extracts from the films:<BR><BR>Francis Ford Coppo')
09 Jun 2023, Germany,,Köln (Cologne),Hans Zimmer Live – Europe Tour 2023,"return overlib('Following the major success of his recent tour across Europe, Hans Zimmer is excited to announce the continuation of this smash-hit tour.<BR><BR>Starting in April 2023, the world-renowned film composer will return to Europe with his extraordinary band and orchestra for the “Hans Zimmer Live &n')"
09 Jun 2023, Canada,,Calgary,On Stage with Branford Marsalis,"return overlib('Calgary Philharmonic Orchestra<BR>Rune Bergmann, conductor<BR>Branford Marsalis, saxophone<BR><BR>Three-time Grammy Award–winning saxophonist Branford Marsalis takes the spotlight in John Williams’ inventive Escapades, an ‘impressionistic memoir’ of 1960s progressive jazz, ba')"
09 Jun 2023, Germany,,Dortmund,Star Trek - Galactic music with some physics,"return overlib('In the legendary »Star Trek« series, spaceships have been penetrating the endless expanses of the universe for over 50 years, exploring worlds that no human has ever seen before. The laws of physics are not only dealt with surprisingly well, but also musically real delicacies have been c')"
09 Jun 2023, Germany,,Dortmund,Star Trek - Galactic music with some physics,"return overlib('Discussion concert in the series \""Saturdays between rolls and Borussia - modern physics for everyone\""<BR><BR>In the legendary »Star Trek« series, spaceships have been penetrating the endless expanses of the universe for over 50 years, exploring worlds that no human has ever s')"
10 Jun 2023, Netherlands,,Amstertdam,Hans Zimmer Live – Europe Tour 2023,"return overlib('Following the major success of his recent tour across Europe, Hans Zimmer is excited to announce the continuation of this smash-hit tour.<BR><BR>Starting in April 2023, the world-renowned film composer will return to Europe with his extraordinary band and orchestra for the “Hans Zimmer Live &n')"
12 Jun 2023, Netherlands,,Rotterdam,Hans Zimmer Live – Europe Tour 2023,"return overlib('Following the major success of his recent tour across Europe, Hans Zimmer is excited to announce the continuation of this smash-hit tour.<BR><BR>Starting in April 2023, the world-renowned film composer will return to Europe with his extraordinary band and orchestra for the “Hans Zimmer Live &n')"
13 Jun 2023, France,,Angers,Pause-concert : Film Music,return overlib('● Mairéad Hickey - violin / Andrés Fernández Subiela - double bass / Rémi Vignet - flute / Alexandre Mège - oboe / Maguy Giraud - clarinet / Pierre-Yves Bens - horn / Ignacio Echepare - bassoon<BR><BR><BR><BR>● Extracts from the films:<BR><BR>Francis Ford Coppo')
14 Jun 2023, United Kingdom,,London,Hans Zimmer Live – Europe Tour 2023,"return overlib('Following the major success of his recent tour across Europe, Hans Zimmer is excited to announce the continuation of this smash-hit tour.<BR><BR>Starting in April 2023, the world-renowned film composer will return to Europe with his extraordinary band and orchestra for the “Hans Zimmer Live &n')"
14 Jun 2023, Germany,,Köln (Cologne),Dun | Herrmann | Richter,"return overlib('New Century Chamber Orchestra<BR>Daniel Hope, conductor / violin<BR><BR>Tan Dun is one of those contemporary composers whose music, according to the Los Angeles Times, \""transforms everything into an immersive experience that\'s hard to define but very easy to enjoy.\"" His double concerto ')"
15 Jun 2023, United Kingdom,,London,Hans Zimmer Live – Europe Tour 2023,"return overlib('Following the major success of his recent tour across Europe, Hans Zimmer is excited to announce the continuation of this smash-hit tour.<BR><BR>Starting in April 2023, the world-renowned film composer will return to Europe with his extraordinary band and orchestra for the “Hans Zimmer Live &n')"
15 Jun 2023, USA,Tennessee,Nashville,Marvel Studios' Black Panther - In Concert,"return overlib('Ludwig Göransson - Black Panter<BR><BR>In 2018, Marvel Studios’ Black Panther quickly became a global sensation and cultural phenomenon, showing a new dimension of what Super Hero films could be. Rolling Stone raved, “The film lights up the screen with a full-throttle blast of actio')"
16 Jun 2023, United Kingdom,,Manchester,Hans Zimmer Live – Europe Tour 2023,"return overlib('Following the major success of his recent tour across Europe, Hans Zimmer is excited to announce the continuation of this smash-hit tour.<BR><BR>Starting in April 2023, the world-renowned film composer will return to Europe with his extraordinary band and orchestra for the “Hans Zimmer Live &n')"
16 Jun 2023, United Kingdom,,Edinburgh,The Magical Music of Harry Potter,"return overlib('Witches, wizards and muggles alike are sure to enjoy this spectacular concert showcasing the music from the magical world of Harry Potter. Experience the sounds of Hogwarts brought thrillingly to life by Scotland’s National Orchestra as they perform the phenomenal scores from this iconic serie')"
16 Jun 2023, USA,North Carolina,Charlotte,Raiders of the Lost Ark - In Concert,"return overlib('John Williams - Raiders of the Lost Ark<BR><BR>\""Snakes... Why\'d it have to be snakes?\""<BR><BR>The film that gave the world one of its greatest movie heroes is back and better than ever before! Relive the magic of the original great adventure on the silver screen with John Williams\'s ep')"
16 Jun 2023, USA,Tennessee,Nashville,Marvel Studios' Black Panther - In Concert,"return overlib('Ludwig Göransson - Black Panter<BR><BR>In 2018, Marvel Studios’ Black Panther quickly became a global sensation and cultural phenomenon, showing a new dimension of what Super Hero films could be. Rolling Stone raved, “The film lights up the screen with a full-throttle blast of actio')"
17 Jun 2023, United Kingdom,,Glasgow,The Magical Music of Harry Potter,"return overlib('Witches, wizards and muggles alike are sure to enjoy this spectacular concert showcasing the music from the magical world of Harry Potter. Experience the sounds of Hogwarts brought thrillingly to life by Scotland’s National Orchestra as they perform the phenomenal scores from this iconic serie')"
17 Jun 2023, USA,North Carolina,Charlotte,Raiders of the Lost Ark - In Concert,"return overlib('John Williams - Raiders of the Lost Ark<BR><BR>\""Snakes... Why\'d it have to be snakes?\""<BR><BR>The film that gave the world one of its greatest movie heroes is back and better than ever before! Relive the magic of the original great adventure on the silver screen with John Williams\'s ep')"
17 Jun 2023, USA,Tennessee,Nashville,Marvel Studios' Black Panther - In Concert,"return overlib('Ludwig Göransson - Black Panter<BR><BR>In 2018, Marvel Studios’ Black Panther quickly became a global sensation and cultural phenomenon, showing a new dimension of what Super Hero films could be. Rolling Stone raved, “The film lights up the screen with a full-throttle blast of actio')"
17 Jun 2023, USA,Texas,Austin,E.T. the Extra-Terrestrial In Concert,"return overlib('John Williams - E.T. the Extra-Terrestrial<BR><BR>Director Steven Spielberg’s heartwarming masterpiece is one of the brightest stars in motion picture history. Filled with unparalleled magic and imagination, E.T. the Extra‑Terrestrial follows the moving story of a lost little alien who befri')"
18 Jun 2023, Germany,,Essen,America,"return overlib('New Century Chamber Orchestra San Francisco<BR>Daniel Hope, conductor<BR>Alexey Botvinov, piano<BR><BR>\""We know a piece is American as soon as we hear it, but what is it that makes music sound American?\"" Star violinist Daniel Hope asked himself this question at the beginning of 2022 with')"
18 Jun 2023, Ireland,,Dublin,Hans Zimmer Live – Europe Tour 2023,"return overlib('Following the major success of his recent tour across Europe, Hans Zimmer is excited to announce the continuation of this smash-hit tour.<BR><BR>Starting in April 2023, the world-renowned film composer will return to Europe with his extraordinary band and orchestra for the “Hans Zimmer Live &n')"
18 Jun 2023, USA,Tennessee,Nashville,Marvel Studios' Black Panther - In Concert,"return overlib('Ludwig Göransson - Black Panter<BR><BR>In 2018, Marvel Studios’ Black Panther quickly became a global sensation and cultural phenomenon, showing a new dimension of what Super Hero films could be. Rolling Stone raved, “The film lights up the screen with a full-throttle blast of actio')"
